aba	a . b a
diphetho	d i . pʰ ɪ . tʰ ʊ
diphetišene	d i . pʰ ɪ . tʼ i . ʃ ɪ . n ɪ
diphetiso	d i . pʰ ɪ . tʼ i . s ʊ
diphetogo	d i . pʰ ɪ . tʼ ʊ . x ʊ
diphetogong	d i . pʰ ɪ . tʼ ʊ . x ʊ . ŋ
diphetolelo	d i . pʰ ɪ . tʼ ʊ . l ɪ . l ʊ
diphetolo	d i . pʰ ɪ . tʼ ʊ . l ʊ
diphilo	d i . pʰ i . l ʊ
diphiri	d i . pʰ i . r i
diphiso	d i . pʰ i . s ʊ
diphitlhelelo	d i . pʰ i . t͡lʰ ɪ . l ɪ . l ʊ
diphitlho	d i . pʰ i . t͡lʰ ʊ
diphofo	d i . pʰ ʊ . f ʊ
diphokoletso	d i . pʰ ʊ . kʼ ʊ . l ɪ . t͡sʼ ʊ
diphokotso	d i . pʰ ʊ . kʼ ʊ . t͡sʼ ʊ
dipholese	d i . pʰ ʊ . l ɪ . s ɪ
dipholesi	d i . pʰ ʊ . l ɪ . s i
dipholesing	d i . pʰ ʊ . l ɪ . s i . ŋ
dipholising	d i . pʰ ʊ . l i . s i . ŋ
dipholo	d i . pʰ ʊ . l ʊ
diphologolo	d i . pʰ ʊ . l ʊ . x ʊ . l ʊ
diphologolong	d i . pʰ ʊ . l ʊ . x ʊ . l ʊ . ŋ
diphologong	d i . pʰ ʊ . l ʊ . x ʊ . ŋ
dipholong	d i . pʰ ʊ . l ʊ . ŋ
diphopholetso	d i . pʰ ʊ . pʰ ʊ . l ɪ . t͡sʼ ʊ
diphororo	d i . pʰ ʊ . r ʊ . r ʊ
diphoso	d i . pʰ ʊ . s ʊ
diphosong	d i . pʰ ʊ . s ʊ . ŋ
diphosophoso	d i . pʰ ʊ . s ʊ . pʰ ʊ . s ʊ
diphotlwa	d i . pʰ ʊ . t͡lʼ w a
diphousetara	d i . pʰ ʊ . u . s ɪ . tʼ a . r a
diphuka	d i . pʰ u . kʼ a
diphuruphutso	d i . pʰ u . r u . pʰ u . t͡sʼ ʊ
diphuthelo	d i . pʰ u . tʰ ɪ . l ʊ
diphuthelwana	d i . pʰ u . tʰ ɪ . l w a . n a
dipiletsatshekong	d i . pʼ i . l ɪ . t͡sʼ a . t͡sʰ ɪ . kʼ ʊ . ŋ
dipina	d i . pʼ i . n a
dipinagare	d i . pʼ i . n a . x a . r ɪ
dipinatlhaletso	d i . pʼ i . n a . t͡lʰ a . l ɪ . t͡sʼ ʊ
dipineng	d i . pʼ i . n ɪ . ŋ
dipiriti	d i . pʼ i . r i . tʼ i
dipitsa	d i . pʼ i . t͡sʼ a
dipitse	d i . pʼ i . t͡sʼ ɪ
dipitso	d i . pʼ i . t͡sʼ ʊ
dipitsong	d i . pʼ i . t͡sʼ ʊ . ŋ
dipodi	d i . pʼ ʊ . d i
dipodišadi	d i . pʼ ʊ . d i . ʃ a . d i
dipoelethuto	d i . pʼ ʊ . ɪ . l ɪ . tʰ u . tʼ ʊ
dipoeletso	d i . pʼ ʊ . ɪ . l ɪ . t͡sʼ ʊ
dipoelo	d i . pʼ ʊ . ɪ . l ʊ
dipoelokgolo	d i . pʼ ʊ . ɪ . l ʊ . k͡x ʊ . l ʊ
dipoelong	d i . pʼ ʊ . ɪ . l ʊ . ŋ
dipoelothuto	d i . pʼ ʊ . ɪ . l ʊ . tʰ u . tʼ ʊ
dipoelothutong	d i . pʼ ʊ . ɪ . l ʊ . tʰ u . tʼ ʊ . ŋ
dipoelotlhabololo	d i . pʼ ʊ . ɪ . l ʊ . t͡lʰ a . b ʊ . l ʊ . l ʊ
dipoelotsenelelo	d i . pʼ ʊ . ɪ . l ʊ . t͡sʼ ɪ . n ɪ . l ɪ . l ʊ
dipoere	d i . pʼ ʊ . ɪ . r ɪ
dipogiso	d i . pʼ ʊ . x i . s ʊ
dipoifo	d i . pʼ ʊ . i . f ʊ
dipoitshego	d i . pʼ ʊ . i . t͡sʰ ɪ . x ʊ
dipokano	d i . pʼ ʊ . kʼ a . n ʊ
dipoko	d i . pʼ ʊ . kʼ ʊ
dipolaka	d i . pʼ ʊ . l a . kʼ a
dipolane	d i . pʼ ʊ . l a . n ɪ
dipolante	d i . pʼ ʊ . l a . n . tʼ ɪ
dipolantere	d i . pʼ ʊ . l a . n . tʼ ɪ . r ɪ
dipolantereng	d i . pʼ ʊ . l a . n . tʼ ɪ . r ɪ . ŋ
dipolao	d i . pʼ ʊ . l a . ʊ
dipolase	d i . pʼ ʊ . l a . s ɪ
dipolaseng	d i . pʼ ʊ . l a . s ɪ . ŋ
dipolasetiki	d i . pʼ ʊ . l a . s ɪ . tʼ i . kʼ i
dipolata	d i . pʼ ʊ . l a . tʼ a
dipolatefomo	d i . pʼ ʊ . l a . tʼ ɪ . f ʊ . m ʊ
dipolateng	d i . pʼ ʊ . l a . tʼ ɪ . ŋ
dipoleiti	d i . pʼ ʊ . l ɪ . i . tʼ i
dipolelo	d i . pʼ ʊ . l ɪ . l ʊ
dipolelong	d i . pʼ ʊ . l ɪ . l ʊ . ŋ
dipolelonolo	d i . pʼ ʊ . l ɪ . l ʊ . n ʊ . l ʊ
dipolelwana	d i . pʼ ʊ . l ɪ . l w a . n a
dipoletiki	d i . pʼ ʊ . l ɪ . tʼ i . kʼ i
dipolokelo	d i . pʼ ʊ . l ʊ . kʼ ɪ . l ʊ
dipolokelong	d i . pʼ ʊ . l ʊ . kʼ ɪ . l ʊ . ŋ
dipoloko	d i . pʼ ʊ . l ʊ . kʼ ʊ
dipoloma	d i . pʼ ʊ . l ʊ . m a
dipolomate	d i . pʼ ʊ . l ʊ . m a . tʼ ɪ
dipolotiki	d i . pʼ ʊ . l ʊ . tʼ i . kʼ i
dipolotiking	d i . pʼ ʊ . l ʊ . tʼ i . kʼ i . ŋ
dipoloto	d i . pʼ ʊ . l ʊ . tʼ ʊ
dipompo	d i . pʼ ʊ . m . pʼ ʊ
diponagalo	d i . pʼ ʊ . n a . x a . l ʊ
diponagalokgolo	d i . pʼ ʊ . n a . x a . l ʊ . k͡x ʊ . l ʊ
diponagalong	d i . pʼ ʊ . n a . x a . l ʊ . ŋ
diponalo	d i . pʼ ʊ . n a . l ʊ
dipone	d i . pʼ ʊ . n ɪ
diponelopele	d i . pʼ ʊ . n ɪ . l ʊ . pʼ ɪ . l ɪ
diponetsiboso	d i . pʼ ʊ . n ɪ . t͡sʼ i . b ʊ . s ʊ
dipono	d i . pʼ ʊ . n ʊ
dipontsho	d i . pʼ ʊ . n . t͡sʰ ʊ
dipontshong	d i . pʼ ʊ . n . t͡sʰ ʊ . ŋ
dipontshotshupetso	d i . pʼ ʊ . n . t͡sʰ ʊ . t͡sʰ u . pʼ ɪ . t͡sʼ ʊ
dipoo	d i . pʼ ʊ . ʊ
dipopego	d i . pʼ ʊ . pʼ ɪ . x ʊ
dipopegong	d i . pʼ ʊ . pʼ ɪ . x ʊ . ŋ
dipopegotheo	d i . pʼ ʊ . pʼ ɪ . x ʊ . tʰ ɪ . ʊ
dipopegotheong	d i . pʼ ʊ . pʼ ɪ . x ʊ . tʰ ɪ . ʊ . ŋ
dipopi	d i . pʼ ʊ . pʼ i
dipopo	d i . pʼ ʊ . pʼ ʊ
dipopong	d i . pʼ ʊ . pʼ ʊ . ŋ
dipopontshwa	d i . pʼ ʊ . pʼ ʊ . n . t͡sʰ w a
dipoposešwa	d i . pʼ ʊ . pʼ ʊ . s ɪ . ʃ w a
dipopotheo	d i . pʼ ʊ . pʼ ʊ . tʰ ɪ . ʊ
dipopotheong	d i . pʼ ʊ . pʼ ʊ . tʰ ɪ . ʊ . ŋ
diporefense	d i . pʼ ʊ . r ɪ . f ɪ . n . s ɪ
diporeng	d i . pʼ ʊ . r ɪ . ŋ
diporo	d i . pʼ ʊ . r ʊ
diporofaele	d i . pʼ ʊ . r ʊ . f a . ɪ . l ɪ
diporofense	d i . pʼ ʊ . r ʊ . f ɪ . n . s ɪ
diporofenseng	d i . pʼ ʊ . r ʊ . f ɪ . n . s ɪ . ŋ
diporofensi	d i . pʼ ʊ . r ʊ . f ɪ . n . s i
diporofentshe	d i . pʼ ʊ . r ʊ . f ɪ . n . t͡sʰ ɪ
diporofešenale	d i . pʼ ʊ . r ʊ . f ɪ . ʃ ɪ . n a . l ɪ
diporofešene	d i . pʼ ʊ . r ʊ . f ɪ . ʃ ɪ . n ɪ
diporofešeneng	d i . pʼ ʊ . r ʊ . f ɪ . ʃ ɪ . n ɪ . ŋ
diporofete	d i . pʼ ʊ . r ʊ . f ɪ . tʼ ɪ
diporojeke	d i . pʼ ʊ . r ʊ . d͡ʒ ɪ . kʼ ɪ
diporojekeng	d i . pʼ ʊ . r ʊ . d͡ʒ ɪ . kʼ ɪ . ŋ
diporokerama	d i . pʼ ʊ . r ʊ . kʼ ɪ . r a . m a
diporokerameng	d i . pʼ ʊ . r ʊ . kʼ ɪ . r a . m ɪ . ŋ
diporokeramo	d i . pʼ ʊ . r ʊ . kʼ ɪ . r a . m ʊ
diporosente	d i . pʼ ʊ . r ʊ . s ɪ . n . tʼ ɪ
diporotokolo	d i . pʼ ʊ . r ʊ . tʼ ʊ . kʼ ʊ . l ʊ
dipositi	d i . pʼ ʊ . s i . tʼ i
diposo	d i . pʼ ʊ . s ʊ
diposokantoro	d i . pʼ ʊ . s ʊ . kʼ a . n . tʼ ʊ . r ʊ
diposong	d i . pʼ ʊ . s ʊ . ŋ
dipota	d i . pʼ ʊ . tʼ a
dipotana	d i . pʼ ʊ . tʼ a . n a
dipotlana	d i . pʼ ʊ . t͡lʼ a . n a
dipotsane	d i . pʼ ʊ . t͡sʼ a . n ɪ
dipotsiso	d i . pʼ ʊ . t͡sʼ i . s ʊ
dipotso	d i . pʼ ʊ . t͡sʼ ʊ
dipotsolotsano	d i . pʼ ʊ . t͡sʼ ʊ . l ʊ . t͡sʼ a . n ʊ
dipotsolotso	d i . pʼ ʊ . t͡sʼ ʊ . l ʊ . t͡sʼ ʊ
dipotsolotsong	d i . pʼ ʊ . t͡sʼ ʊ . l ʊ . t͡sʼ ʊ . ŋ
dipotsong	d i . pʼ ʊ . t͡sʼ ʊ . ŋ
dipotsopotso	d i . pʼ ʊ . t͡sʼ ʊ . pʼ ʊ . t͡sʼ ʊ
dipotsotherisano	d i . pʼ ʊ . t͡sʼ ʊ . tʰ ɪ . r i . s a . n ʊ
dipounama	d i . pʼ ʊ . u . n a . m a
dipuana	d i . pʼ u . a . n a
dipuisano	d i . pʼ u . i . s a . n ʊ
dipuisanong	d i . pʼ u . i . s a . n ʊ . ŋ
dipula	d i . pʼ u . l a
dipuleng	d i . pʼ u . l ɪ . ŋ
dipuodintsi	d i . pʼ u . ʊ . d i . n . t͡sʼ i
dipuo	d i . pʼ u . ʊ
dipuong	d i . pʼ u . ʊ . ŋ
dipuopuo	d i . pʼ u . ʊ . pʼ u . ʊ
dipuso	d i . pʼ u . s ʊ
dipusong	d i . pʼ u . s ʊ . ŋ
dipusoselegae	d i . pʼ u . s ʊ . s ɪ . l ɪ . x a . ɪ
dira	d i . r a
diragadibonwe	d i . r a . x a . d i . b ʊ . n w ɪ
diragaditse	d i . r a . x a . d i . t͡sʼ ɪ
diragaditseng	d i . r a . x a . d i . t͡sʼ ɪ . ŋ
diragaditswe	d i . r a . x a . d i . t͡sʼ w ɪ
diragaditsweng	d i . r a . x a . d i . t͡sʼ w ɪ . ŋ
diragadiwa	d i . r a . x a . d i . w a
diragadiwang	d i . r a . x a . d i . w a . ŋ
diragadiwe	d i . r a . x a . d i . w ɪ
diragala	d i . r a . x a . l a
diragalang	d i . r a . x a . l a . ŋ
diragale	d i . r a . x a . l ɪ
diragalela	d i . r a . x a . l ɪ . l a
diragalelang	d i . r a . x a . l ɪ . l a . ŋ
diragalelwa	d i . r a . x a . l ɪ . l w a
diragaletse	d i . r a . x a . l ɪ . t͡sʼ ɪ
diragaletseng	d i . r a . x a . l ɪ . t͡sʼ ɪ . ŋ
diragatsa	d i . r a . x a . t͡sʼ a
diragatsang	d i . r a . x a . t͡sʼ a . ŋ
diragatse	d i . r a . x a . t͡sʼ ɪ
diragatseng	d i . r a . x a . t͡sʼ ɪ . ŋ
diragatsiwang	d i . r a . x a . t͡sʼ i . w a . ŋ
diragatswa	d i . r a . x a . t͡sʼ w a
diragatswang	d i . r a . x a . t͡sʼ w a . ŋ
diragatswe	d i . r a . x a . t͡sʼ w ɪ
diragetse	d i . r a . x ɪ . t͡sʼ ɪ
diragetseng	d i . r a . x ɪ . t͡sʼ ɪ . ŋ
diragitswe	d i . r a . x i . t͡sʼ w ɪ
diraka	d i . r a . kʼ a
dirakaka	d i . r a . kʼ a . kʼ a
dirakanya	d i . r a . kʼ a . ɲ a
diralwa	d i . r a . l w a
dirametla	d i . r a . m ɪ . t͡lʼ a
dirana	d i . r a . n a
diranang	d i . r a . n a . ŋ
dirang	d i . r a . ŋ
diranta	d i . r a . n . tʼ a
dire	d i . r ɪ
direga	d i . r ɪ . x a
diregang	d i . r ɪ . x a . ŋ
direge	d i . r ɪ . x ɪ
diregile	d i . r ɪ . x i . l ɪ
direiti	d i . r ɪ . i . tʼ i
direiting	d i . r ɪ . i . tʼ i . ŋ
direko	d i . r ɪ . kʼ ʊ
direkoto	d i . r ɪ . kʼ ʊ . tʼ ʊ
direkotong	d i . r ɪ . kʼ ʊ . tʼ ʊ . ŋ
direla	d i . r ɪ . l a
direlana	d i . r ɪ . l a . n a
direlang	d i . r ɪ . l a . ŋ
direle	d i . r ɪ . l ɪ
direleng	d i . r ɪ . l ɪ . ŋ
direlo	d i . r ɪ . l ʊ
direlwa	d i . r ɪ . l w a
direlwang	d i . r ɪ . l w a . ŋ
direme	d i . r ɪ . m ɪ
diremeng	d i . r ɪ . m ɪ . ŋ
direng	d i . r ɪ . ŋ
dirente	d i . r ɪ . n . tʼ ɪ
direpudi	d i . r ɪ . pʼ u . d i
diresediwang	d i . r ɪ . s ɪ . d i . w a . ŋ
direšene	d i . r ɪ . ʃ ɪ . n ɪ
diretala	d i . r ɪ . tʼ a . l a
direthe	d i . r ɪ . tʰ ɪ
diretse	d i . r ɪ . t͡sʼ ɪ
diretseng	d i . r ɪ . t͡sʼ ɪ . ŋ
diretswe	d i . r ɪ . t͡sʼ w ɪ
diretsweng	d i . r ɪ . t͡sʼ w ɪ . ŋ
diribatsi	d i . r i . b a . t͡sʼ i
dirile	d i . r i . l ɪ
dirileng	d i . r i . l ɪ . ŋ
dirilwe	d i . r i . l w ɪ
dirilweng	d i . r i . l w ɪ . ŋ
diripana	d i . r i . pʼ a . n a
diripoto	d i . r i . pʼ ʊ . tʼ ʊ
dirisa	d i . r i . s a
dirisana	d i . r i . s a . n a
dirisanang	d i . r i . s a . n a . ŋ
dirisane	d i . r i . s a . n ɪ
dirisaneng	d i . r i . s a . n ɪ . ŋ
dirisang	d i . r i . s a . ŋ
dirisapharologanyo	d i . r i . s a . pʰ a . r ʊ . l ʊ . x a . ɲ ʊ
dirise	d i . r i . s ɪ
diriseditswe	d i . r i . s ɪ . d i . t͡sʼ w ɪ
diriseditsweng	d i . r i . s ɪ . d i . t͡sʼ w ɪ . ŋ
dirisediwa	d i . r i . s ɪ . d i . w a
dirisediwang	d i . r i . s ɪ . d i . w a . ŋ
dirisediwe	d i . r i . s ɪ . d i . w ɪ
diriseke	d i . r i . s ɪ . kʼ ɪ
diriseng	d i . r i . s ɪ . ŋ
dirisetsa	d i . r i . s ɪ . t͡sʼ a
dirisetsang	d i . r i . s ɪ . t͡sʼ a . ŋ
dirisetse	d i . r i . s ɪ . t͡sʼ ɪ
dirisetswa	d i . r i . s ɪ . t͡sʼ w a
dirisetswang	d i . r i . s ɪ . t͡sʼ w a . ŋ
dirisetswe	d i . r i . s ɪ . t͡sʼ w ɪ
dirisitse	d i . r i . s i . t͡sʼ ɪ
dirisitseng	d i . r i . s i . t͡sʼ ɪ . ŋ
dirisitswe	d i . r i . s i . t͡sʼ w ɪ
dirisitsweng	d i . r i . s i . t͡sʼ w ɪ . ŋ
dirisiwa	d i . r i . s i . w a
dirisiwamo	d i . r i . s i . w a . m ʊ
dirisiwang	d i . r i . s i . w a . ŋ
dirisiwe	d i . r i . s i . w ɪ
dirisiweng	d i . r i . s i . w ɪ . ŋ
diriswa	d i . r i . s w a
diriswang	d i . r i . s w a . ŋ
diritibatsi	d i . r i . tʼ i . b a . t͡sʼ i
diriwa	d i . r i . w a
diriwang	d i . r i . w a . ŋ
diriwe	d i . r i . w ɪ
diroboto	d i . r ʊ . b ʊ . tʼ ʊ
dirolo	d i . r ʊ . l ʊ
dirolola	d i . r ʊ . l ʊ . l a
diromelwa	d i . r ʊ . m ɪ . l w a
diromelwantle	d i . r ʊ . m ɪ . l w a . n . t͡lʼ ɪ
diromelwantleng	d i . r ʊ . m ɪ . l w a . n . t͡lʼ ɪ . ŋ
diromelwateng	d i . r ʊ . m ɪ . l w a . tʼ ɪ . ŋ
diropeng	d i . r ʊ . pʼ ɪ . ŋ
diroto	d i . r ʊ . tʼ ʊ
diruiwa	d i . r u . i . w a
diruiweng	d i . r u . i . w ɪ . ŋ
dirukutlhi	d i . r u . kʼ u . t͡lʰ i
dirumodi	d i . r u . m ʊ . d i
dirutegi	d i . r u . tʼ ɪ . x i
dirutwa	d i . r u . tʼ w a
dirutweng	d i . r u . tʼ w ɪ . ŋ
dirwa	d i . r w a
dirwang	d i . r w a . ŋ
dirwe	d i . r w ɪ
dirweng	d i . r w ɪ . ŋ
dišabo	d i . ʃ a . b ʊ
disa	d i . s a
diša	d i . ʃ a
disaenseng	d i . s a . ɪ . n . s ɪ . ŋ
dišaga	d i . ʃ a . x a
disampole	d i . s a . m . pʼ ʊ . l ɪ
disang	d i . s a . ŋ
dišebine	d i . ʃ ɪ . b i . n ɪ
dise	d i . s ɪ
diseeleng	d i . s ɪ . ɪ . l ɪ . ŋ
disekerete	d i . s ɪ . kʼ ɪ . r ɪ . tʼ ɪ
disekereteng	d i . s ɪ . kʼ ɪ . r ɪ . tʼ ɪ . ŋ
disela	d i . s ɪ . l a
disele	d i . s ɪ . l ɪ
diseleng	d i . s ɪ . l ɪ . ŋ
disetefekeiti	d i . s ɪ . tʼ ɪ . f ɪ . kʼ ɪ . i . tʼ i
diseterepe	d i . s ɪ . tʼ ɪ . r ɪ . pʼ ɪ
disetifikeiti	d i . s ɪ . tʼ i . f i . kʼ ɪ . i . tʼ i
diseto	d i . s ɪ . tʼ ʊ
disetoro	d i . s ɪ . tʼ ʊ . r ʊ
disireletsa	d i . s i . r ɪ . l ɪ . t͡sʼ a
disireletsi	d i . s i . r ɪ . l ɪ . t͡sʼ i
disitse	d i . s i . t͡sʼ ɪ
diso	d i . s ʊ
dišwa	d i . ʃ w a
dišwane	d i . ʃ w a . n ɪ
ditaba	d i . tʼ a . b a
ditabeng	d i . tʼ a . b ɪ . ŋ
ditaele	d i . tʼ a . ɪ . l ɪ
ditaelo	d i . tʼ a . ɪ . l ʊ
ditaelong	d i . tʼ a . ɪ . l ʊ . ŋ
ditafole	d i . tʼ a . f ʊ . l ɪ
ditala	d i . tʼ a . l a
ditalente	d i . tʼ a . l ɪ . n . tʼ ɪ
ditaletso	d i . tʼ a . l ɪ . t͡sʼ ʊ
ditao	d i . tʼ a . ʊ
ditaolelo	d i . tʼ a . ʊ . l ɪ . l ʊ
ditaolo	d i . tʼ a . ʊ . l ʊ
ditaolong	d i . tʼ a . ʊ . l ʊ . ŋ
ditapole	d i . tʼ a . pʼ ʊ . l ɪ
ditatamente	d i . tʼ a . tʼ a . m ɪ . n . tʼ ɪ
ditatlhegelo	d i . tʼ a . t͡lʰ ɪ . x ɪ . l ʊ
ditatofatso	d i . tʼ a . tʼ ʊ . f a . t͡sʼ ʊ
ditatšhe	d i . tʼ a . t͡ʃʰ ɪ
ditebego	d i . tʼ ɪ . b ɪ . x ʊ
ditebelelo	d i . tʼ ɪ . b ɪ . l ɪ . l ʊ
ditebelo	d i . tʼ ɪ . b ɪ . l ʊ
ditebo	d i . tʼ ɪ . b ʊ
ditebogo	d i . tʼ ɪ . b ʊ . x ʊ
ditedu	d i . tʼ ɪ . d u
diteemane	d i . tʼ ɪ . ɪ . m a . n ɪ
ditefelo	d i . tʼ ɪ . f ɪ . l ʊ
ditefikeiti	d i . tʼ ɪ . f i . kʼ ɪ . i . tʼ i
ditefiso	d i . tʼ ɪ . f i . s ʊ
ditefo	d i . tʼ ɪ . f ʊ
diteisene	d i . tʼ ɪ . i . s ɪ . n ɪ
diteišene	d i . tʼ ɪ . i . ʃ ɪ . n ɪ
diteišeneng	d i . tʼ ɪ . i . ʃ ɪ . n ɪ . ŋ
ditekanyatso	d i . tʼ ɪ . kʼ a . ɲ a . t͡sʼ ʊ
ditekanyetsoboleng	d i . tʼ ɪ . kʼ a . ɲ ɪ . t͡sʼ ʊ . b ʊ . l ɪ . ŋ
ditekanyetso	d i . tʼ ɪ . kʼ a . ɲ ɪ . t͡sʼ ʊ
ditekanyetsokabo	d i . tʼ ɪ . kʼ a . ɲ ɪ . t͡sʼ ʊ . kʼ a . b ʊ
ditekanyo	d i . tʼ ɪ . kʼ a . ɲ ʊ
ditekanyong	d i . tʼ ɪ . kʼ a . ɲ ʊ . ŋ
ditekelelo	d i . tʼ ɪ . kʼ ɪ . l ɪ . l ʊ
ditekelelommu	d i . tʼ ɪ . kʼ ɪ . l ɪ . l ʊ . m . m u
ditekelelong	d i . tʼ ɪ . kʼ ɪ . l ɪ . l ʊ . ŋ
ditekeletso	d i . tʼ ɪ . kʼ ɪ . l ɪ . t͡sʼ ʊ
ditekesi	d i . tʼ ɪ . kʼ ɪ . s i
diteki	d i . tʼ ɪ . kʼ i
ditekisi	d i . tʼ ɪ . kʼ i . s i
diteko	d i . tʼ ɪ . kʼ ʊ
ditekolo	d i . tʼ ɪ . kʼ ʊ . l ʊ
ditekommu	d i . tʼ ɪ . kʼ ʊ . m . m u
ditekong	d i . tʼ ɪ . kʼ ʊ . ŋ
ditele	d i . tʼ ɪ . l ɪ
diteleko	d i . tʼ ɪ . l ɪ . kʼ ʊ
ditelele	d i . tʼ ɪ . l ɪ . l ɪ
ditelesekopo	d i . tʼ ɪ . l ɪ . s ɪ . kʼ ʊ . pʼ ʊ
ditema	d i . tʼ ɪ . m a
ditemakgang	d i . tʼ ɪ . m a . k͡x a . ŋ
ditemalo	d i . tʼ ɪ . m a . l ʊ
ditemana	d i . tʼ ɪ . m a . n a
ditemaneng	d i . tʼ ɪ . m a . n ɪ . ŋ
diteme	d i . tʼ ɪ . m ɪ
ditementsi	d i . tʼ ɪ . m ɪ . n . t͡sʼ i
ditemeteme	d i . tʼ ɪ . m ɪ . tʼ ɪ . m ɪ
ditemogo	d i . tʼ ɪ . m ʊ . x ʊ
ditemokerasi	d i . tʼ ɪ . m ʊ . kʼ ɪ . r a . s i
ditempe	d i . tʼ ɪ . m . pʼ ɪ
ditena	d i . tʼ ɪ . n a
ditene	d i . tʼ ɪ . n ɪ
diteng	d i . tʼ ɪ . ŋ
ditengwana	d i . tʼ ɪ . ŋ w a . n a
diterama	d i . tʼ ɪ . r a . m a
diteramakhutshwe	d i . tʼ ɪ . r a . m a . kʰ u . t͡sʰ w ɪ
diteramakhutswe	d i . tʼ ɪ . r a . m a . kʰ u . t͡sʼ w ɪ
diterameng	d i . tʼ ɪ . r a . m ɪ . ŋ
diterapa	d i . tʼ ɪ . r a . pʼ a
diterasete	d i . tʼ ɪ . r a . s ɪ . tʼ ɪ
diterata	d i . tʼ ɪ . r a . tʼ a
diterebe	d i . tʼ ɪ . r ɪ . b ɪ
ditereke	d i . tʼ ɪ . r ɪ . kʼ ɪ
diterekere	d i . tʼ ɪ . r ɪ . kʼ ɪ . r ɪ
diterekereng	d i . tʼ ɪ . r ɪ . kʼ ɪ . r ɪ . ŋ
diterena	d i . tʼ ɪ . r ɪ . n a
diterene	d i . tʼ ɪ . r ɪ . n ɪ
ditereneng	d i . tʼ ɪ . r ɪ . n ɪ . ŋ
diterentšhe	d i . tʼ ɪ . r ɪ . n . t͡ʃʰ ɪ
diteretšhara	d i . tʼ ɪ . r ɪ . t͡ʃʰ a . r a
diteropo	d i . tʼ ɪ . r ʊ . pʼ ʊ
ditetla	d i . tʼ ɪ . t͡lʼ a
ditetlelelo	d i . tʼ ɪ . t͡lʼ ɪ . l ɪ . l ʊ
ditetlo	d i . tʼ ɪ . t͡lʼ ʊ
dithaba	d i . tʰ a . b a
dithabana	d i . tʰ a . b a . n a
dithabeng	d i . tʰ a . b ɪ . ŋ
dithadiso	d i . tʰ a . d i . s ʊ
dithaelo	d i . tʰ a . ɪ . l ʊ
dithaene	d i . tʰ a . ɪ . n ɪ
dithaereng	d i . tʰ a . ɪ . r ɪ . ŋ
dithaetlele	d i . tʰ a . ɪ . t͡lʼ ɪ . l ɪ
dithaka	d i . tʰ a . kʼ a
dithala	d i . tʰ a . l a
dithalotlhakore	d i . tʰ a . l ʊ . t͡lʰ a . kʼ ʊ . r ɪ
dithalwa	d i . tʰ a . l w a
dithamakwane	d i . tʰ a . m a . kʼ w a . n ɪ
dithamalakwane	d i . tʰ a . m a . l a . kʼ w a . n ɪ
dithankgololo	d i . tʰ a . n . k͡x ʊ . l ʊ . l ʊ
dithanodi	d i . tʰ a . n ʊ . d i
dithanoding	d i . tʰ a . n ʊ . d i . ŋ
dithanolo	d i . tʰ a . n ʊ . l ʊ
dithapelo	d i . tʰ a . pʼ ɪ . l ʊ
dithapo	d i . tʰ a . pʼ ʊ
dithapolo	d i . tʰ a . pʼ ʊ . l ʊ
ditharabololo	d i . tʰ a . r a . b ʊ . l ʊ . l ʊ
dithata	d i . tʰ a . tʼ a
dithateng	d i . tʰ a . tʼ ɪ . ŋ
dithebe	d i . tʰ ɪ . b ɪ
dithebolelo	d i . tʰ ɪ . b ʊ . l ɪ . l ʊ
dithebolo	d i . tʰ ɪ . b ʊ . l ʊ
dithedimogane	d i . tʰ ɪ . d i . m ʊ . x a . n ɪ
ditheetso	d i . tʰ ɪ . ɪ . t͡sʼ ʊ
ditheetsong	d i . tʰ ɪ . ɪ . t͡sʼ ʊ . ŋ
dithefosanyodijalo	d i . tʰ ɪ . f ʊ . s a . ɲ ʊ . d i . d͡ʒ a . l ʊ
ditheibole	d i . tʰ ɪ . i . b ʊ . l ɪ
ditheipi	d i . tʰ ɪ . i . pʼ i
dithekeniki	d i . tʰ ɪ . kʼ ɪ . n i . kʼ i
dithekenikoneng	d i . tʰ ɪ . kʼ ɪ . n i . kʼ ʊ . n ɪ . ŋ
dithekenikono	d i . tʰ ɪ . kʼ ɪ . n i . kʼ ʊ . n ʊ
dithekese	d i . tʰ ɪ . kʼ ɪ . s ɪ
dithekesi	d i . tʰ ɪ . kʼ ɪ . s i
dithekethe	d i . tʰ ɪ . kʼ ɪ . tʰ ɪ
dithekisi	d i . tʰ ɪ . kʼ i . s i
dithekiso	d i . tʰ ɪ . kʼ i . s ʊ
dithekisontle	d i . tʰ ɪ . kʼ i . s ʊ . n . t͡lʼ ɪ
ditheko	d i . tʰ ɪ . kʼ ʊ
dithekong	d i . tʰ ɪ . kʼ ʊ . ŋ
dithekontle	d i . tʰ ɪ . kʼ ʊ . n . t͡lʼ ɪ
dithelebipene	d i . tʰ ɪ . l ɪ . b i . pʼ ɪ . n ɪ
ditheminale	d i . tʰ ɪ . m i . n a . l ɪ
dithemphereitsha	d i . tʰ ɪ . m . pʰ ɪ . r ɪ . i . t͡sʰ a
dithemphereitšha	d i . tʰ ɪ . m . pʰ ɪ . r ɪ . i . t͡ʃʰ a
dithemphereitšheng	d i . tʰ ɪ . m . pʰ ɪ . r ɪ . i . t͡ʃʰ ɪ . ŋ
