ababalulekile	ababa{lulek}ile
iphindelela	i{phindelela}
iphindiselwa	i{phindiselwa}
iphindiselwe	i{phindiselw}e
iphini	i{phini}
iphuma	i{phuma}
iphumelela	i{phumelela}
iphumelele	i{phumelel}e
iphunga	i{phunga}
iphupho	i{phupho}
iphutha	i{phutha}
iphuzu	i{phuzu}
iqala	i{qala}
iqembu	i{qembu}
iqhamuka	i{qhamuka}
iqhamuke	i{qhamuk}e
iqhawe	i{qhaw}e
iqhaza	i{qhaza}
iqhikiza	i{qhikiza}
iqhubeka	i{qhubeka}
iqhubeke	i{qhubek}e
iqhubekele	i{qhubekel}e
iqhubekile	i{qhubek}ile
iqhude	i{qhud}e
iqiniso	i{qiniso}
iqonde	i{qond}e
iqondiswa	i{qondiswa}
iqoqo	i{qoqo}
isaga	isa{ga}
isahluko	is{ahluko}
isakhi	is{akhi}
isakhiwo	is{akhiwo}
isalukazi	is{alu}kazi
isandla	isa{ndla}
isandulela	isa{ndulela}
isangasetshenzwa	isa{ngasetshenzwa}
isasebenza	isa{sebenza}
isaziso	is{aziso}
isebenza	is{ebenza}
isebenze	is{ebenze}
isebenzela	is{ebenzela}
isebenzisa	is{ebenzisa}
isebenzisana	is{ebenzis}ana
isebenzisane	is{ebenzis}ane
isebenzise	is{ebenzise}
isebenziseke	is{ebenziseke}
isekhona	is{ekhona}
isekudingisweni	is{ekudingisweni}
isela	is{ela}
iselesele	is{elesele}
iseluleko	is{eluleko}
isencane	is{enc}ane
isengakwazi	is{engakwazi}
isentshenziselwe	is{entshenziselwe}
isentshenziswa	is{entshenziswa}
isenzo	is{enzo}
isesifundeni	is{esifundeni}
isetshenziselwa	is{etshenziselwa}
isetshenziselwani	{isetshenziselw}ani
isetshenziselwe	is{etshenziselwe}
isetshenzisiwe	is{etshenzisiwe}
isetshenziswa	is{etshenziswa}
isetshenziswe	is{etshenziswe}
ishaya	is{haya}
ishoba	is{hoba}
isho	is{ho}
isibalo	isi{balo}
isibambiso	isi{bambiso}
isibaya	isi{baya}
isibhakabhaka	isi{bhakabhaka}
isibhamu	isi{bhamu}
isibhedlela	isi{bhedlela}
isibili	isi{bili}
isibindi	isi{bindi}
isibona	isi{bona}
isibonele	isi{bonel}e
isibonelelo	isi{bonelelo}
isibonelo	isi{bonelo}
isibongo	isi{bongo}
isicabha	isi{cabha}
isicelo	isi{celo}
isidingo	isi{dingo}
isidumo	isi{dumo}
isifazane	isi{faz}ane
isifengqo	isi{fengqo}
isifikile	isi{fik}ile
isifo	isi{fo}
isifuba	isi{fuba}
isifuna	isi{funa}
isifunda	isi{funda}
isifundiswa	isi{fundiswa}
isifundo	isi{fundo}
isigaba	isi{gaba}
isigatshana	isi{gatsh}ana
isigcino	isi{gcino}
isigebengu	isi{gebengu}
isigodi	isi{godi}
isigqi	isi{gqi}
isigubhu	isi{gubhu}
isiguli	isi{guli}
isigungu	isi{gungu}
isigunyazi	isi{gunyazi}
isigwebo	isi{gwebo}
isihambe	isi{hamb}e
isihambi	isi{hambi}
isihlabathi	isi{hlabathi}
isihlahla	isi{hlahla}
isihlalo	isi{hlalo}
isihlandla	isi{hlandla}
isihlandlu	isi{hlandlu}
isihlanganiso	isi{hlanganiso}
isihlobo	isi{hlobo}
isihloko	isi{hloko}
isikakhulukazi	isi{kakhulu}kazi
isikhala	isi{khala}
isikhali	isi{khali}
isikhalo	isi{khalo}
isikhashana	isi{khash}ana
isikhathi	isi{khathi}
isikhatho	isi{khatho}
isikhohlela	isi{khohlela}
isikhombisa	isi{khombisa}
isikhombiso	isi{khombiso}
isikhona	isi{khona}
isikhukhukazi	isi{khukhu}kazi
isikhulu	isi{khulu}
isikhuluma	isi{khuluma}
isikhulumi	isi{khulumi}
isikhumba	isi{khumba}
isikhumbuza	isi{khumbuza}
isikhumbuzo	isi{khumbuzo}
isikhundla	isi{khundla}
isikhwama	isi{khwama}
isikhwele	isi{khwel}e
isikole	isi{kol}e
isikweletu	isi{kweletu}
isililo	isi{lilo}
isilima	isi{lima}
isilo	isi{lo}
isimilo	isi{milo}
isimo	isi{mo}
isingcono	isi{ngcono}
isingena	isi{ngena}
isingisi	isi{ngisi}
isinqumo	isi{nqumo}
isinqunywe	isi{nqunyw}e
isinyathelo	isi{nyathelo}
isiphandla	isi{phandla}
isiphathi	isi{phathi}
isiphathimandla	isi{phathimandla}
isiphathiswa	isi{phathiswa}
isiphelelwe	isi{phelelw}e
isiphephelo	isi{phephelo}
isiphetho	isi{phetho}
isiphi	isi{phi}
isiphikelele	isi{phikelel}e
isiphinde	isi{phind}e
isiphuku	isi{phuku}
isiphuma	isi{phuma}
isiqala	isi{qala}
isiqalo	isi{qalo}
isiqiniseko	isi{qiniseko}
isiqiniso	isi{qiniso}
isiqonde	isi{qond}e
isisebenza	isi{sebenza}
isisebenzi	isi{sebenzi}
isisekelo	isi{sekelo}
isisetshenziswa	isi{setshenziswa}
isisu	isi{su}
isitatimende	isi{tatimend}e
isitha	isi{tha}
isithanda	isi{thanda}
isithathe	isi{thath}e
isithe	isi{th}e
isithelo	isi{thelo}
isithembiso	isi{thembiso}
isithembu	isi{thembu}
isithi	isi{thi}
isithole	isi{thol}e
isithunzi	isi{thunzi}
isithuthi	isi{thuthi}
isithuthuthu	isi{thuthuthu}
isitifiketi	isi{tifiketi}
isitimela	isi{timela}
isitsha	isi{tsha}
isitshela	isi{tshela}
isivikela	isi{vikela}
isivivinyo	isi{vivinyo}
isizathu	isi{zathu}
isize	isi{z}e
isizulu	isi{zulu}
isizungu	isi{zungu}
isizwa	isi{zwa}
isizwe	isi{zw}e
iso	is{o}
isoka	is{oka}
isona	is{ona}
isonto	is{onto}
isu	is{u}
isuka	is{uka}
isuke	is{uke}
ithambo	i{thambo}
ithanda	i{thanda}
ithatha	i{thatha}
ithathe	i{thath}e
ithathwa	i{thathwa}
ithathwe	i{thathw}e
ithe	i{th}e
itheku	i{theku}
ithemba	i{themba}
ithi	i{thi}
ithina	i{thina}
ithini	i{thini}
ithishelakazi	i{thishela}kazi
ithola	i{thola}
itholakala	i{tholakala}
itholakale	i{tholakal}e
ithole	i{thol}e
itholwa	i{tholwa}
ithuba	i{thuba}
ithuna	i{thuna}
ithuthukisa	i{thuthukisa}
ithuthukiswa	i{thuthukiswa}
ithuthukiswe	i{thuthukisw}e
itiye	i{tiy}e
itoho	i{toho}
itshe	i{tsh}e
itshitshi	i{tshitshi}
ivela	i{vela}
ivele	i{vel}e
iveze	i{vez}e
ivikelekile	i{vikelek}ile
ivoti	i{voti}
iwa	iw{a}
iwele	iwe{le}
iwona	iwon{a}
iyabaleka	iyaba{leka}
iyabonakala	iya{bonakala}
iyafana	iy{af}ana
iyahambisana	iy{ahambis}ana
iyahlonishwa	iya{hlonishwa}
iya	iy{a}
iyasebenza	iyas{ebenza}
iyasetshenziswa	iyas{etshenziswa}
iyatholakala	iya{tholakala}
iyathuthukiswa	iya{thuthukiswa}
iyaye	iya{y}e
iye	iy{e}
iyeke	iyek{e}
iyilokhu	iyi{lokhu}
iyiphi	iyi{phi}
iyisikhathi	iyisi{khathi}
iyobhekela	iyo{bhekela}
iyokuqhubeka	iyoku{qhubeka}
iyokwakha	iyokw{akha}
iyokwenziwa	iyokw{enziwa}
iyona	iyon{a}
iyosetshenziswa	iyos{etshenziswa}
iyothatha	iyo{thatha}
iyothathwa	iyo{thathwa}
iyothi	iyo{thi}
iyothola	iyo{thola}
iyotholakala	iyo{tholakala}
iyozala	iyoz{ala}
izaba	iz{aba}
izaga	iz{aga}
izahluko	iz{ahluko}
iza	iz{a}
izakhamuzi	iz{akhamuzi}
izakhiwo	iz{akhiwo}
izakusebenzisa	iz{akusebenzisa}
izandla	iz{andla}
izaziso	iz{aziso}
izehlakalo	iz{ehlakalo}
ize	iz{e}
izeluleko	iz{eluleko}
izembe	iz{embe}
izenzo	iz{enzo}
izibhalo	izi{bhalo}
izibhamu	izi{bhamu}
izibhedlela	izi{bhedlela}
izibonele	izi{bonel}e
izibonelelo	izi{bonelelo}
izibonelo	izi{bonelo}
izibongo	izi{bongo}
izibozi	izi{bozi}
izichasiso	izi{chasiso}
izidingo	izi{dingo}
izifengqo	izi{fengqo}
izifiso	izi{fiso}
izifo	izi{fo}
izifunda	izi{funda}
izifundawe	izi{fundaw}e
izifundiswa	izi{fundiswa}
izifundo	izi{fundo}
izigaba	izi{gaba}
izigebengu	izi{gebengu}
izigi	izi{gi}
izihambi	izi{hambi}
izihlahla	izi{hlahla}
izihlalo	izi{hlalo}
izihlandla	izi{hlandla}
izihlanganiso	izi{hlanganiso}
izihlangu	izi{hlangu}
izihlathi	izi{hlathi}
izihlelo	izi{hlelo}
izihlobo	izi{hlobo}
izihloko	izi{hloko}
izikhala	izi{khala}
izikhali	izi{khali}
izikhalo	izi{khalo}
izikhashana	izi{khash}ana
izikhathi	izi{khathi}
izikhombiso	izi{khombiso}
izikhulu	izi{khulu}
izikhulumi	izi{khulumi}
izikhumba	izi{khumba}
izikhumbuzo	izi{khumbuzo}
izikhwama	izi{khwama}
izikole	izi{kol}e
izilimi	izi{limi}
izilonda	izi{londa}
izilwane	izi{lw}ane
izimali	izim{ali}
izimanga	izim{anga}
izimangalo	izim{angalo}
izimbobo	izim{bobo}
izimbuzi	izim{buzi}
izimelele	izim{elele}
izimendlela	izim{endlela}
izimisele	izim{isele}
izimiselo	izim{iselo}
izimishini	izim{ishini}
izimiso	izim{iso}
izimo	izim{o}
izimpahla	izim{pahla}
izimpawu	izim{pawu}
izimpendulo	izim{pendulo}
izimpilo	izim{pilo}
izimu	izim{u}
izincwadi	izin{cwadi}
izincwanjana	izin{cwanj}ana
izindaba	izin{daba}
izindatshana	izin{datsh}ana
izindaweni	izin{daweni}
izindawo	izin{dawo}
izindebe	izin{debe}
izindlala	izin{dlala}
izindlebe	izin{dlebe}
izindleko	izin{dleko}
izindlela	izin{dlela}
izindlelo	izin{dlelo}
izindlu	izin{dlu}
izinga	izin{ga}
izingalo	izin{galo}
izingane	izin{g}ane
izinganekwane	izin{ganekw}ane
izingcezu	izin{gcezu}
izingozi	izin{gozi}
izingqikithi	izin{gqikithi}
izingqondo	izin{gqondo}
izingubo	izin{gubo}
izinguquke	izin{guquke}
izinguquko	izin{guquko}
izingxenyana	izin{gxeny}ana
izingxenye	izin{gxenye}
izingxoxo	izin{gxoxo}
izinhla	izin{hla}
izinhlaka	izin{hlaka}
izinhlamvu	izin{hlamvu}
izinhlanga	izin{hlanga}
izinhlanganisela	izin{hlanganisela}
izinhlanganiso	izin{hlanganiso}
izinhlangano	izin{hlangano}
izinhlangothi	izin{hlangothi}
izinhlansi	izin{hlansi}
izinhlanzi	izin{hlanzi}
izinhlekelele	izin{hlekelele}
izinhlelo	izin{hlelo}
izinhliziyo	izin{hliziyo}
izinhlobo	izin{hlobo}
izinhlobonhlobo	izin{hlobonhlobo}
izinhloko	izin{hloko}
izinhloli	izin{hloli}
izinhlolo	izin{hlolo}
izinhloso	izin{hloso}
izinikele	izin{ikele}
izinjongo	izin{jongo}
izinkabi	izin{kabi}
izinkambi	izin{kambi}
izinkambiso	izin{kambiso}
izinkambo	izin{kambo}
izinkampane	izin{kamp}ane
izinkampani	izin{kampani}
izinkathi	izin{kathi}
izinkinga	izin{kinga}
izinkolelo	izin{kolelo}
izinkomba	izin{komba}
izinkombandlela	izin{kombandlela}
izinkomo	izin{komo}
izinkondlo	izin{kondlo}
izinkukhu	izin{kukhu}
izinkululeko	izin{kululeko}
izinkulumo	izin{kulumo}
izinkulungwane	izin{kulungw}ane
izinkuni	izin{kuni}
izinqola	izin{qola}
izinqubo	izin{qubo}
izinqumo	izin{qumo}
izinsimbi	izin{simbi}
izinsini	izin{sini}
izinsiza	izin{siza}
izinsizakalo	izin{sizakalo}
izinsizakufunda	izin{sizakufunda}
izinsizakusebenza	izin{sizakusebenza}
izinsizakuxhumana	izin{sizakuxhum}ana
izinsizo	izin{sizo}
izinsizwa	izin{sizwa}
izinsuku	izin{suku}
izintaba	izin{taba}
izintambo	izin{tambo}
izintandane	izin{tand}ane
izintatheli	izin{tatheli}
izintela	izin{tela}
izinto	izin{to}
izintombi	izin{tombi}
izintshe	izin{tshe}
izintuthumba	izin{tuthumba}
izintwana	izin{tw}ana
izinwele	izin{wele}
izinyama	izin{yama}
izinyamazane	izin{yamaz}ane
izinyane	izin{y}ane
izinyanga	izin{yanga}
izinyangana	izin{yang}ana
izinyathelo	izin{yathelo}
izinyawo	izin{yawo}
izinyembezi	izin{yembezi}
izinyongo	izin{yongo}
izinyoni	izin{yoni}
izinyosi	izin{yosi}
iziphakamiso	izi{phakamiso}
iziphandla	izi{phandla}
iziphathi	izi{phathi}
iziphathimandla	izi{phathimandla}
iziphetho	izi{phetho}
iziphicaphicwano	izi{phicaphicwano}
iziphi	izi{phi}
iziphosiso	izi{phosiso}
iziphumuzi	izi{phumuzi}
iziqedile	izi{qed}ile
iziqephu	izi{qephu}
iziqu	izi{qu}
izisebenzi	izi{sebenzi}
izisekelo	izi{sekelo}
izisetshenziswa	izi{setshenziswa}
izishaya	izi{shaya}
izisho	izi{sho}
izitha	izi{tha}
izithelo	izi{thelo}
izithembiso	izi{thembiso}
izithole	izi{thol}e
izithuthi	izi{thuthi}
izithuthuthu	izi{thuthuthu}
izitsha	izi{tsha}
izivikele	izi{vikel}e
izivivinyo	izi{vivinyo}
izivumele	izi{vumel}e
izivumelwane	izi{vumelw}ane
izivumelwano	izi{vumelwano}
iziyalo	izi{yalo}
izizathu	izi{zathu}
izizwe	izi{zw}e
izokuhlahlela	izoku{hlahlela}
izokusetshenziselwa	izoku{setshenziselwa}
izokutshela	izoku{tshela}
izokwenzeka	izo{kwenzeka}
izokwenziwa	izo{kwenziwa}
izolo	iz{olo}
izotholakala	izo{tholakala}
izulu	iz{ulu}
izwe	iz{we}
izwi	iz{wi}
jikelele	{jikelele}
jwi	{jwi}
kababa	kaba{ba}
kabanzi	kaba{nzi}
kabi	ka{bi}
kabili	ka{bili}
kabuhlungu	kabu{hlungu}
kabusha	kabu{sha}
kade	ka{d}e
kafanele	ka{fanel}e
kafushane	ka{fush}ane
kagologo	ka{gologo}
kahle	ka{hl}e
kahulumeni	ka{hulumeni}
kakhulu	kak{hulu}
kakukhona	kakuk{hona}
kalula	kalu{la}
kamasipala	kama{sipala}
kamhlophe	kam{hloph}e
kamnandi	kam{nandi}
kamuva	kamu{va}
kancane	kan{c}ane
kangaka	kan{gaka}
kangakanani	kan{gakanani}
kangangoba	kan{gangoba}
kangangokuba	kan{gangokuba}
kangangokuthi	kan{gangokuthi}
kangazi	kan{gazi}
kangcono	kan{gcono}
kanina	kani{na}
kaningi	kan{ingi}
kanjalo	kan{jalo}
kanjani	kan{jani}
kanje	kan{je}
kanjena	kan{jena}
kanjengoba	kan{jengoba}
kanti	kan{ti}
kanye	kan{ye}
kanyekanye	kan{yekanye}
kanzima	kan{zima}
kasipheshethwa	kasi{pheshethwa}
kathathu	ka{thathu}
kathisha	ka{thisha}
kayise	kayi{s}e
kazi	kaz{i}
kazwelonke	kaz{welonke}
kengiphinde	ken{giphinde}
kepha	ke{pha}
khona	khona
khuluma	k{huluma}
khwezela	k{hwezela}
kimi	kim{i}
kimina	kimi{na}
kini	kin{i}
kinina	kin{ina}
kithi	ki{thi}
kithina	ki{thina}
klabe	klab{e}
klwi	k{lwi}
kobe	ko{be}
kobuza	kobu{za}
kodokotela	ko{dokotela}
kodwa	ko{dwa}
kofanele	ko{fanele}
kofunda	ko{funda}
kohlala	ko{hlala}
kohlelo	ko{hlelo}
kohulumeni	ko{hulumeni}
kokhulu	kok{hulu}
kokuba	koku{ba}
kokubaluleka	koku{baluleka}
kokubambisana	koku{bambis}ana
kokubeka	koku{beka}
kokubhala	koku{bhala}
kokubhaliwe	koku{bhaliwe}
kokubheka	koku{bheka}
kokubhekana	koku{bhek}ana
kokubhekela	koku{bhekela}
kokubhekelela	koku{bhekelela}
kokubona	koku{bona}
kokucabanga	koku{cabanga}
kokucabangela	koku{cabangela}
kokuchazwa	koku{chazwa}
kokuchitha	koku{chitha}
kokudala	koku{dala}
kokudingekayo	koku{dingekayo}
kokudingekile	koku{dingekile}
kokufakela	koku{fakela}
kokufa	koku{fa}
kokufaneleka	koku{faneleka}
kokufanele	koku{fanele}
kokufika	koku{fika}
kokufuna	koku{funa}
kokufunda	koku{funda}
kokufundela	koku{fundela}
kokufundisa	koku{fundisa}
kokugcina	koku{gcina}
kokugula	koku{gula}
kokuhamba	koku{hamba}
kokuhambisa	koku{hambisa}
kokuhambisana	koku{hambis}ana
kokuhlala	koku{hlala}
kokuhlalaphansi	koku{hlalaphansi}
kokuhlangana	koku{hlang}ana
kokuhlanganisa	koku{hlanganisa}
kokuhlanganiswa	koku{hlanganiswa}
kokuhlela	koku{hlela}
kokuhlelwa	koku{hlelwa}
kokuhlola	koku{hlola}
kokuhlolwa	koku{hlolwa}
kokuhlupheka	koku{hlupheka}
kokujwayelekile	koku{jwayelekile}
kokukhubeka	koku{khubeka}
kokukhula	koku{khula}
kokukhulu	koku{khulu}
kokukhululeka	koku{khululeka}
kokukhululwa	koku{khululwa}
kokukhuluma	koku{khuluma}
kokulindela	koku{lindela}
kokulindelekile	koku{lindelekile}
kokulisebenzisa	koku{lisebenzisa}
kokungaphezu	koku{ngaphezu}
kokungaphezulu	koku{ngaphezulu}
kokungase	koku{ngase}
kokungekho	koku{ngekho}
kokungena	koku{ngena}
kokungenwa	koku{ngenwa}
kokunikwa	koku{nikwa}
kokuphakathi	koku{phakathi}
kokuphatha	koku{phatha}
kokuphathwa	koku{phathwa}
kokuphela	koku{phela}
kokuphelele	koku{phelele}
kokuphelelwa	koku{phelelwa}
kokuphendula	koku{phendula}
kokuphepha	koku{phepha}
kokuphethwa	koku{phethwa}
kokuphethwe	koku{phethwe}
kokuphikisana	koku{phikis}ana
kokuphila	koku{phila}
kokuphilayo	koku{philayo}
kokuphinda	koku{phinda}
kokuphuma	koku{phuma}
kokuphumelela	koku{phumelela}
kokuqala	koku{qala}
kokuqeqesha	koku{qeqesha}
kokuqeqeshwa	koku{qeqeshwa}
kokuqhamuka	koku{qhamuka}
kokuqhubeka	koku{qhubeka}
kokuqinisa	koku{qinisa}
kokuqiniswa	koku{qiniswa}
kokuqondiswa	koku{qondiswa}
kokusebenza	koku{sebenza}
kokusebenzisa	koku{sebenzisa}
kokusebenzisana	koku{sebenzis}ana
kokusentshenziswa	koku{sentshenziswa}
kokusetshenziswa	koku{setshenziswa}
kokushaya	koku{shaya}
kokushona	koku{shona}
kokusisebenzisa	koku{sisebenzisa}
kokusizwa	koku{sizwa}
kokusuka	koku{suka}
kokuthandabuza	koku{thandabuza}
kokuthatha	koku{thatha}
kokuthathu	koku{thathu}
kokuthathwa	koku{thathwa}
kokuthela	koku{thela}
kokuthi	koku{thi}
kokuthile	koku{thile}
kokuthintana	koku{thint}ana
kokutholakala	koku{tholakala}
kokuthola	koku{thola}
kokutholwa	koku{tholwa}
kokuthula	koku{thula}
kokuthumela	koku{thumela}
kokuthuthuka	koku{thuthuka}
kokuthuthukisa	koku{thuthukisa}
kokuthuthukiswa	koku{thuthukiswa}
kokuvumelana	koku{vumel}ana
kokuxhumana	koku{xhum}ana
kokuya	koku{ya}
kokuzibheka	koku{zibheka}
kokuziphatha	koku{ziphatha}
kokuzivikela	koku{zivikela}
kokwenzeka	kokw{enzeka}
kokwenziwa	kokw{enziwa}
kokwenziwayo	kokw{enziwayo}
kolimi	koli{mi}
kolwazi	kolw{azi}
komasipala	koma{sipala}
komfana	kom{f}ana
komfula	kom{fula}
komfundi	kom{fundi}
komgwamanda	kom{gwamanda}
komhlaba	kom{hlaba}
komhlabathi	kom{hlabathi}
komhlahlandlela	kom{hlahlandlela}
komhlangano	kom{hlangano}
komkhathi	kom{khathi}
komkhombandlela	kom{khombandlela}
komkhulu	kom{khulu}
komlilo	kom{lilo}
komntwana	kom{ntw}ana
komoya	kom{oya}
komphakathi	kom{phakathi}
komphathi	kom{phathi}
komphefumulo	kom{phefumulo}
komqondo	kom{qondo}
komsebenzi	kom{sebenzi}
komsebenzisi	kom{sebenzisi}
komthe	kom{the}
komthelela	kom{thelela}
komthetho	kom{thetho}
komthethonkambiso	kom{thethonkambiso}
komthethosisekelo	kom{thethosisekelo}
komuntu	komu{ntu}
komunye	komu{nye}
komuzi	komu{zi}
kona	kon{a}
konina	kon{ina}
konje	kon{je}
konke	kon{ke}
konyaka	kon{yaka}
kosebenza	kos{ebenza}
kosebenzayo	kos{ebenzayo}
kosebenzela	kos{ebenzela}
kosuku	kos{uku}
kothi	ko{thi}
kothisha	ko{thisha}
kubabaza	kuba{baza}
kuba	ku{ba}
kubaluleka	kuba{luleka}
kubalulekile	kuba{lulek}ile
kubalwa	kuba{lwa}
kubambisana	kuba{mbis}ana
kubanga	kuba{nga}
kubangane	kuba{ng}ane
kubangani	kuba{ngani}
kubani	kuba{ni}
kubantu	kuba{ntu}
kubantwana	kuba{ntw}ana
kubaphathi	kuba{phathi}
kubasebenzi	kuba{sebenzi}
kubazali	kuba{zali}
kubeka	kube{ka}
kubekhona	kube{khona}
kube	ku{b}e
kubhala	ku{bhala}
kubhalelwe	ku{bhalelw}e
kubhaliwe	ku{bhaliw}e
kubhalwa	ku{bhalwa}
kubhalwe	ku{bhalw}e
kubhalweni	ku{bhalweni}
kubheka	ku{bheka}
kubheke	ku{bhek}e
kubhekela	ku{bhekela}
kubhekeleke	ku{bhekelek}e
kubhekele	ku{bhekel}e
kubhekelela	ku{bhekelela}
kubhekelelwa	ku{bhekelelwa}
kubhekelelwe	ku{bhekelelw}e
kubhekelwa	ku{bhekelwa}
kubhekelwe	ku{bhekelw}e
kubhekene	ku{bheken}e
kubhekilanga	ku{bhekilanga}
kubhoka	ku{bhoka}
kubi	ku{bi}
kubikwe	ku{bikw}e
kubingelela	ku{bingelela}
kubo	ku{bo}
kubonakala	kubo{nakala}
kubonakale	kubo{nakal}e
kubona	kubo{na}
kubonelela	kubo{nelela}
kubonelelwa	kubo{nelelwa}
kubonelelwe	kubo{nelelw}e
kubonga	kubo{nga}
kubongeka	kubo{ngeka}
kubuhlobo	kubu{hlobo}
kubuye	kubu{y}e
kubuza	kubu{za}
kubuzisisa	kubu{zisisa}
kucabangele	ku{cabangel}e
kucace	ku{cac}e
kucambalele	ku{cambalel}e
kuchaza	ku{chaza}
kuchazani	{kuchaz}ani
kuchazwa	ku{chazwa}
kuchazwe	ku{chazw}e
kuchitha	ku{chitha}
kuchitheka	ku{chitheka}
kuchitheke	ku{chithek}e
kudala	ku{dala}
kudalwa	ku{dalwa}
kude	ku{d}e
kudingakala	ku{dingakala}
kudinga	ku{dinga}
kudingeka	ku{dingeka}
kudingeke	ku{dingek}e
kudingekela	ku{dingekela}
kudingekile	ku{dingek}ile
kudla	ku{dla}
kudlala	ku{dlala}
kudliwa	ku{dliwa}
kudlula	ku{dlula}
kudlule	ku{dlul}e
kudlulele	ku{dlulel}e
kudokotela	ku{dokotela}
kuduma	ku{duma}
kufaka	ku{faka}
kufakazi	ku{fa}kazi
kufakelela	ku{fakelela}
kufakelelwa	ku{fakelelwa}
kufa	ku{fa}
kufana	ku{f}ana
kufane	ku{f}ane
kufanela	ku{fanela}
kufaneleka	ku{faneleka}
kufaneleke	ku{fanelek}e
kufanelekile	ku{fanelek}ile
kufanele	ku{fanel}e
kufezeke	ku{fezek}e
kufike	ku{fik}e
kufikela	ku{fikela}
kufikelele	ku{fikelel}e
kufikwa	ku{fikwa}
kufinyelelwe	ku{finyelelw}e
kufuna	ku{funa}
kufundisa	ku{fundisa}
kufundiswa	ku{fundiswa}
kufundiswe	ku{fundisw}e
kufundwa	ku{fundwa}
kufundwe	ku{fundw}e
kufuneka	ku{funeka}
kufutheka	ku{futheka}
kugcina	ku{gcina}
kugcine	ku{gcin}e
kugcizelela	ku{gcizelela}
kugcizelele	ku{gcizelel}e
kugcizelelwa	ku{gcizelelwa}
kugcizelelwe	ku{gcizelelw}e
kugcwele	ku{gcwel}e
kuguquke	ku{guquk}e
kuhamba	ku{hamba}
kuhambe	ku{hamb}e
kuhambisa	ku{hambisa}
kuhambisana	ku{hambis}ana
kuhambisane	ku{hambis}ane
kuhambo	ku{hambo}
kuhanjwe	ku{hanjw}e
kuhlala	ku{hlala}
kuhlale	ku{hlal}e
kuhlangabezane	ku{hlangabez}ane
kuhlanga	ku{hlanga}
kuhlangana	ku{hlang}ana
kuhlangane	ku{hlang}ane
kuhlanganisa	ku{hlanganisa}
kuhlanganiswa	ku{hlanganiswa}
kuhlangatshezwane	ku{hlangatshezw}ane
kuhlangene	ku{hlangen}e
kuhlangothi	ku{hlangothi}
kuhlanzeke	ku{hlanzek}e
kuhlanzekile	ku{hlanzek}ile
kuhle	ku{hl}e
kuhlela	ku{hlela}
kuhlele	ku{hlel}e
kuhlelelwe	ku{hlelelw}e
kuhlelo	ku{hlelo}
kuhlelwa	ku{hlelwa}
kuhlelwe	ku{hlelw}e
kuhlobo	ku{hlobo}
kuhlola	ku{hlola}
kuhlolwa	ku{hlolwa}
kuhlolwe	ku{hlolw}e
kuhlupheka	ku{hlupheka}
kuhulumeni	ku{hulumeni}
kukadoti	kuka{doti}
kukahulumeni	kuk{ahulum}eni
kukamasipala	kukam{asipala}
kukhala	kuk{hala}
kukhansela	kuk{hansela}
kukhanya	kuk{hanya}
kukhetho	kuk{hetho}
kukhethwa	kuk{hethwa}
kukhipha	kuk{hipha}
kukhishwa	kuk{hishwa}
kukho	kuk{ho}
kukholakala	kuk{holakala}
kukholakale	kuk{holakale}
kukhomba	kuk{homba}
kukhombisa	kuk{hombisa}
kukhombisile	ku{khombis}ile
kukhona	kuk{hona}
kukhonani	kuk{honani}
kukhula	kuk{hula}
kukhuleka	kuk{huleka}
kukhule	kuk{hule}
kukhulu	kuk{hulu}
kukhululwa	kuk{hululwa}
kukhululwe	kuk{hululwe}
kukhuluma	kuk{huluma}
kukhulunywa	kuk{hulunywa}
kukhulunywe	kuk{hulunywe}
kukhuphukile	ku{khuphuk}ile
kukhuthazwe	kuk{huthazwe}
kukude	kuku{d}e
kukuhle	kuku{hl}e
kukuphi	kuku{phi}
kukuthelela	kuku{thelela}
kukuthi	kuku{thi}
kukuvumela	kuku{vumela}
kukwenza	kukw{enza}
kulabo	kulab{o}
kulanda	kulan{da}
kulapho	kula{pho}
kuleli	kulel{i}
kulemisebenzi	kulemi{sebenzi}
kulena	kulen{a}
kulesifundo	kulesi{fundo}
kulesikhathi	kulesik{hathi}
kuleso	kules{o}
kulimisebenzi	kuli{misebenzi}
kulindeleke	kuli{ndelek}e
kulindelekile	kuli{ndelek}ile
kulindelwa	kuli{ndelwa}
kulindelwe	kuli{ndelw}e
kulingane	kuli{ng}ane
kuliphi	kuli{phi}
kulokho	kulokh{o}
kulokhu	kulokh{u}
kulokukhula	kuloku{khula}
kulo	ku{lo}
kulomasipala	kuloma{sipala}
kulomhlahlandlela	kulom{hlahlandlela}
kulomsebenzi	kulom{sebenzi}
kulona	kulon{a}
kulowo	kulo{wo}
kulowomsebenzi	kulowom{sebenzi}
kulukhuni	kulu{khuni}
kulula	kulu{la}
kulunga	kulu{nga}
kulunge	kulu{ng}e
kulungile	kulu{ng}ile
kulungiselela	kulu{ngiselela}
kulungiselelwa	kulu{ngiselelwa}
kulungiselelwe	kulu{ngiselelw}e
kulungiselwe	kulu{ngiselw}e
kulungiswa	kulu{ngiswa}
kulungiswe	kulu{ngisw}e
kulungu	kulu{ngu}
kumama	kuma{ma}
kumangala	kuma{ngala}
kumanjena	kuma{njena}
kumasipala	kuma{sipala}
kumbandakanya	kum{bandakanya}
kumbe	kum{b}e
kumele	kume{le}
kumemeza	kume{meza}
