a	A:
gek	x { k
gekyk	x @ k @i k
gelaai	x @ l A: i
gelaatstrekke	x @ l A: t s t r { k @
gelaat	x @ l A: t
gelag	x @ l a x
gelande	x @ l a n d @
geland	x @ l a n t
gelang	x @ l a N
gelanseer	x @ l a n s i@ r
gelapte	x @ l a p t @
gelas	x @ l a s
gelate	x @ l A: t @
gelatien	x E l a t i n
geldeenhede	x { l t i@ n h\ i@ d @
geldeenheid	x { l t i@ n h\ @i t
geldelike	x { l d @ l @ k @
geldelik	x { l d @ l @ k
gelde	x { l d @
geldige	x { l d @ x @
geldigheid	x { l d @ x h\ @i t
geldig	x { l d @ x
geldinsameling	x { l d @ n s A: m @ l @ N
geldjie	x { l k i
geldkoffers	x { l t k O f @ r s
geldkrisis	x { l t k r i s @ s
geldmarkkoerse	x { l t m a r k u r s @
geldmarkte	x { l t m a r k t @
geldmark	x { l t m a r k
geldnood	x { l t n u@ t
geldsake	x { l t s A: k @
geldstelsel	x { l t s t { l s @ l
geldvoorraad	x { l t f u@ r A: t
geld	x { l t
geledere	x @ l i@ d @ r @
gelede	x @ l i@ d @
geleedpotiges	x @ l i@ t p u@ t @ x @ s
geleef	x @ l i@ f
geleende	x @ l i@ n d @
geleenthede	x @ l i@ n t h\ i@ d @
geleentheidskoste	x @ l i@ n t h\ @i t s k O s t @
geleentheid	x @ l i@ n t h\ @i t
geleen	x @ l i@ n
geleerdes	x @ l i@ r d @ s
geleerde	x @ l i@ r d @
geleerdheid	x @ l i@ r t h\ @i t
geleerd	x @ l i@ r t
geleer	x @ l i@ r
gelees	x @ l i@ s
geleidelike	x @ l @i d @ l @ k @
geleidelik	x @ l @i d @ l @ k
geleide	x @ l @i d @
geleier	x @ l @i @ r
gelei	x @ l @i
gelese	x @ l i@ s @
geletterde	x @ l E t @ r d @
geletterdheid	x @ l E t @ r t h\ @i t
gelewer	x @ l i@ v @ r
gelewe	x @ l i@ v @
gelê	x @ l E
gelid	x @ l @ t
geliefdes	x @ l i f d @ s
geliefde	x @ l i f d @
gelieg	x @ l i x
gelig	x @ l @ x
gelikwideerde	x @ l @ k w @ d i@ r d @
gelikwideer	x @ l @ k w @ d i@ r
gelisensieerde	x @ l @ s E n s i i@ r d @
gelisensieer	x @ l @ s E n s i i@ r
gelofte	x @ l O f t @
gelok	x @ l O k
geloods	x @ l u@ t s
geloofsbelydenis	x @ l u@ f s b @ l @i d @ n @ s
geloofsbriewe	x @ l u@ f s b r i v @
geloofsending	x @ l u@ f s E n d @ N
geloofsgemeenskap	x @ l u@ f s x @ m i@ n s k a p
geloofsoortuiging	x @ l u@ f s u@ r t 9y x @ N
geloofwaardige	x @ l u@ f v A: r d @ x @
geloofwaardigheid	x @ l u@ f v A: r d @ x h\ @i t
geloofwaardig	x @ l u@ f v A: r d @ x
geloof	x @ l u@ f
gelooi	x @ l u@ i
geloop	x @ l u@ p
geloot	x @ l u@ t
gelos	x @ l O s
gelowe	x @ l u@ v @
gelowiges	x @ l u@ v @ x @ s
gelowige	x @ l u@ v @ x @
gelowig	x @ l u@ v @ x
gelug	x @ l 9 x
geluide	x @ l 9y d @
geluidloos	x @ l 9y t l u@ s
geluid	x @ l 9y t
geluister	x @ l 9y s t @ r
gelui	x @ l 9y
gelukkiger	x @ l 9 k @ x @ r
gelukkiges	x @ l 9 k @ x @ s
gelukkige	x @ l 9 k @ x @
gelukkig	x @ l 9 k @ x
geluksgodin	x @ l 9 k s x u d @ n
gelukwense	x @ l 9 k v E n s @
gelukwensing	x @ l 9 k v E n s @ N
gelukwens	x @ l 9 k v E n s
geluk	x @ l 9 k
gelykberegtiging	x @ l @i k b @ r { x t @ x @ N
gelykbreekpunt	x @ l @i k b r i@ k p 9 n t
gelykenis	x @ l @i k @ n @ s
gelykes	x @ l @i k @ s
gelyke	x @ l @i k @
gelykgestel	x @ l @i k x @ s t { l
gelykheid	x @ l @i k h\ @i t
gelykmakende	x @ l @i k m A: k @ n d @
gelykmatige	x @ l @i k m A: t @ x @
gelykmatig	x @ l @i k m A: t @ x
gelyknamige	x @ l @i k n A: m @ x @
gelykopuitslag	x @ l @i k O p 9y t s l a x
gelykop	x @ l @i k O p
gelykstaande	x @ l @i k s t A: n d @
gelykstelling	x @ l @i k s t { l @ N
gelyktydige	x @ l @i k t @i d @ x @
gelyktydig	x @ l @i k t @i d @ x
gelyk	x @ l @i k
gelyste	x @ l @i s t @
gelys	x @ l @i s
gely	x @ l @i
gemaak	x @ m A: k
gemaalde	x @ m A: l d @
gemaal	x @ m A: l
gemaan	x @ m A: n
gemagtigde	x @ m a x t @ x d @
gemagtig	x @ m a x t @ x
gemaklike	x @ m a k l @ k @
gemaklik	x @ m a k l @ k
gemaksone	x @ m a k s u@ n @
gemak	x @ m a k
gemanipuleerde	x @ m a n i p y l i@ r d @
gemanipuleer	x @ m a n i p y l i@ r
gemarginaliseerde	x @ m a r x i n a l i s i@ r d @
gemarsjeer	x @ m a r S i@ r
gemartel	x @ m a r t @ l
gemaskerde	x @ m a s k @ r d @
gematigdes	x @ m A: t @ x d @ s
gematigde	x @ m A: t @ x d @
gematig	x @ m A: t @ x
gematrikuleer	x @ m a t r i k y l i@ r
gemeenregtelike	x @ m i@ n r { x t @ l @ k @
gemeenskaplike	x @ m i@ n s k a p l @ k @
gemeenskappe	x @ m i@ n s k a p @
gemeenskapsbetrokkenheid	x @ m i@ n s k a p s b @ t r O k @ n h\ @i t
gemeenskapsdeelname	x @ m i@ n s k a p s d i@ l n A: m @
gemeenskapsdienste	x @ m i@ n s k a p s d i n s t @
gemeenskapsdiens	x @ m i@ n s k a p s d i n s
gemeenskapsentrum	x @ m i@ n s k a p s E n t r 9 m
gemeenskapsleiers	x @ m i@ n s k a p s l @i @ r s
gemeenskapsleier	x @ m i@ n s k a p s l @i @ r
gemeenskapslewe	x @ m i@ n s k a p s l i@ v @
gemeenskapsontwikkelingsprojek	x @ m i@ n s k a p s O n t v @ k @ l @ N s p r u j E k
gemeenskapspolisiëringsforums	x @ m i@ n s k a p s p u l i s i i@ r @ N s f u@ r y m s
gemeenskapsprojekte	x @ m i@ n s k a p s p r u j E k t @
gemeenskapsprojek	x @ m i@ n s k a p s p r u j E k
gemeenskapsveiligheid	x @ m i@ n s k a p s f @i l @ x h\ @i t
gemeenskapsverpleegkunde	x @ m i@ n s k a p s f @ r p l i@ x k 9 n d @
gemeenskapsverpleegkundige	x @ m i@ n s k a p s f @ r p l i@ x k 9 n d @ x @
gemeenskapswerker	x @ m i@ n s k a p s v { r k @ r
gemeenskapswerk	x @ m i@ n s k a p s v { r k
gemeenskap	x @ m i@ n s k a p
gemeentelede	x @ m i@ n t @ l i@ d @
gemeentes	x @ m i@ n t @ s
gemeente	x @ m i@ n t @
gemeen	x @ m i@ n
gemeet	x @ m i@ t
gemelde	x @ m { l d @
gemeld	x @ m { l t
gemenereg	x @ m i@ n @ r { x
gemene	x @ m i@ n @
gemengde	x @ m E N d @
gemeng	x @ m E N
gemerkte	x @ m { r k t @
gemerk	x @ m { r k
gemete	x @ m i@ t @
gemiddeldes	x @ m @ d @ l d @ s
gemiddelde	x @ m @ d @ l d @
gemiddeld	x @ m @ d @ l t
gemigreer	x @ m i x r i@ r
gemik	x @ m @ k
geminag	x @ m @ n a x
gemis	x @ m @ s
gemobiliseer	x @ m u b i l i s i@ r
gemoderniseer	x @ m u d { r n i s i@ r
gemodifiseerde	x @ m O d i f i s i@ r d @
gemoedere	x @ m u d @ r @
gemoedsrus	x @ m u t s r 9 s
gemoedsversteurings	x @ m u t s f @ r s t 2: r @ N s
gemoed	x @ m u t
gemoeid	x @ m u i t
gemoker	x @ m u@ k @ r
gemolesteer	x @ m O l @ s t i@ r
gemonitor	x @ m O n i t O r
gemonteerde	x @ m O n t i@ r d @
gemonteer	x @ m O n t i@ r
gemors	x @ m O r s
gemotiveerde	x @ m u t i f i@ r d @
gemotiveerd	x @ m u t i f i@ r t
gemotiveer	x @ m u t i f i@ r
gemsbokke	x E m s b O k @
gemyn	x @ m @i n
genaamd	x @ n A: m t
genadedood	x @ n A: d @ d u@ t
genadeloos	x @ n A: d @ l u@ s
genadelose	x @ n A: d @ l u@ s @
genader	x @ n A: d @ r
genade	x @ n A: d @
genadige	x @ n A: d @ x @
genadiglik	x @ n A: d @ x l @ k
genadig	x @ n A: d @ x
genael	x @ n A: l
genasionaliseer	x @ n a S i u n a l i s i@ r
gender	d Z E n d @ r
genealogiese	x i@ n i a l u@ x i s @
geneefse	x @ n i@ f s @
geneem	x @ n i@ m
geneesheer	x @ n i@ s h\ i@ r
geneeshere	x @ n i@ s h\ i@ r @
geneeskunde	x @ n i@ s k 9 n d @
geneeskundige	x @ n i@ s k 9 n d @ x @
geneesmiddels	x @ n i@ s m @ d @ l s
geneesmiddel	x @ n i@ s m @ d @ l
genees	x @ n i@ s
geneigdheid	x @ n @i x t h\ @i t
geneig	x @ n @i x
generaals	x @ n @ r A: l s
generaal	x @ n @ r A: l
generasies	x @ n @ r A: s i s
generasie	x @ n @ r A: s i
genereer	x @ n @ r i@ r
generiese	x @ n i@ r i s @
genesers	x @ n i@ s @ r s
geneser	x @ n i@ s @ r
genesing	x @ n i@ s @ N
genesis	x i@ n @ s @ s
geneste	x @ n E s t @
genetiese	x @ n i@ t i s @
geneties	x @ n i@ t i s
genetika	x @ n i@ t i k a
geneutraliseer	x @ n 2: t r a l i s i@ r
gene	x i@ n @
genialiteit	x i@ n i a l i t @i t
geniepsige	x @ n i p s @ x @
geniet	x @ n i t
genie	x @ n i
genitale	x i@ n i t A: l @
genoegdoening	x @ n u x d u n @ N
genoegsaam	x @ n u x s A: m
genoegsame	x @ n u x s A: m @
genoeg	x @ n u x
genoemde	x @ n u m d @
genoem	x @ n u m
genoodsaak	x @ n u@ t s A: k
genooides	x @ n u@ i d @ s
genooide	x @ n u@ i d @
genooi	x @ n u@ i
genoop	x @ n u@ p
genootskap	x @ n u@ t s k a p
genormaliseer	x @ n O r m a l i s i@ r
genoteerde	x @ n u t i@ r d @
genoteer	x @ n u t i@ r
genotvolle	x @ n O t f O l @
genotvol	x @ n O t f O l
genot	x @ n O t
genres	Z A: n r @ s
genre	Z A: n r @
genuanseerde	x @ n u a n s i@ r d @
genugtig	x @ n 9 x t @ x
geoefende	x @ u f @ n d @
geoefen	x @ u f @ n
geoffer	x @ O f @ r
geografiese	x i u x r A: f i s @
geografies	x i u x r A: f i s
geografie	x i u x r a f i
geoksideer	x @ O k s i d i@ r
geoktrooieerde	x @ O k t r u@ i i@ r d @
geologiese	x i u l u@ x i s @
geologie	x i u l u x i
geoloog	x i u l u@ x
geometriese	x i u m i@ t r i s @
geometrie	x i u m @ t r i
geomorfologie	x i u m O r f u l u x i
geoordeel	x @ u@ r d i@ l
geoorloof	x @ u@ r l u@ f
geoormerk	x @ u@ r m { r k
geopenbaar	x @ u@ p @ n b A: r
geopen	x @ u@ p @ n
geopereer	x @ u@ p @ r i@ r
geopper	x @ O p @ r
geordende	x @ O r d @ n d @
georden	x @ O r d @ n
georganiseerde	x @ O r x a n i s i@ r d @
georganiseerd	x @ O r x a n i s i@ r t
georganiseer	x @ O r x a n i s i@ r
geöriënteerde	x @ u@ r i E n t i@ r d @
georiënteerdheid	x @ u@ r i E n t i@ r t h\ @i t
georiënteerd	x @ u@ r i E n t i@ r t
georkestreerde	x @ O r k E s t r i@ r d @
geouditeerde	x @ @u d @ t i@ r d @
gepaardgaande	x @ p A: r t x A: n d @
gepaard	x @ p A: r t
gepak	x @ p a k
gepantserde	x @ p a n t s @ r d @
geparkeer	x @ p a r k i@ r
gepaste	x @ p a s t @
gepastheid	x @ p a s t h\ @i t
gepas	x @ p a s
gepatenteerde	x @ p a t E n t i@ r d @
gepatenteer	x @ p a t E n t i@ r
gepatrolleer	x @ p a t r u l i@ r
gepenaliseer	x @ p E n a l i s i@ r
gepeper	x @ p i@ p @ r
gepeuter	x @ p 2: t @ r
gepik	x @ p @ k
geplaas	x @ p l A: s
geplak	x @ p l a k
geplant	x @ p l a n t
geplavei	x @ p l a f @i
gepla	x @ p l A:
gepleeg	x @ p l i@ x
gepleit	x @ p l @i t
geploeg	x @ p l u x
geplooide	x @ p l u@ i d @
gepluk	x @ p l 9 k
geplunder	x @ p l 9 n d @ r
gepoleerde	x @ p u l i@ r d @
gepols	x @ p O l s
gepomp	x @ p O m p
gepoog	x @ p u@ x
gepootjie	x @ p u@ i k i
geposeer	x @ p u s i@ r
geposisioneer	x @ p u z i S i u n i@ r
gepos	x @ p O s
gepraat	x @ p r A: t
gepraktiseer	x @ p r a k t i s i@ r
gepreek	x @ p r i@ k
gepresteer	x @ p r E s t i@ r
geprewel	x @ p r i@ v @ l
geprikkel	x @ p r @ k @ l
geprivatiseer	x @ p r i f a t i s i@ r
geprobeer	x @ p r u b i@ r
geproduseer	x @ p r O d y s i@ r
geproe	x @ p r u
geprojekteerde	x @ p r u j E k t i@ r d @
geproklameer	x @ p r O k l a m i@ r
gepromulgeer	x @ p r O m 9 l x i@ r
geprosesseer	x @ p r O s E s i@ r
geprotesteer	x @ p r O t @ s t i@ r
geprys	x @ p r @i s
gepubliseerde	x @ p 9 b l i s i@ r d @
gepubliseer	x @ p 9 b l i s i@ r
geput	x @ p 9 t
geraadpleegde	x @ r A: t p l i@ x d @
geraadpleeg	x @ r A: t p l i@ x
geraai	x @ r A: i
geraak	x @ r A: k
geraamde	x @ r A: m d @
geraam	x @ r A: m
geraas	x @ r A: s
gerapporteer	x @ r a p O r t i@ r
gerasperde	x @ r a s p @ r d @
gereageer	x @ r i a x i@ r
gerealiseer	x @ r i a l i s i@ r
geredelik	x @ r i@ d @ l @ k
geredeneer	x @ r @ d @ n i@ r
geredigeer	x @ r E d i x i@ r
gereduseerde	x @ r E d y s i@ r d @
gereduseer	x @ r E d y s i@ r
gered	x @ r E t
gereedheid	x @ r i@ t h\ @i t
gereedskap	x @ r i@ t s k a p
gereed	x @ r i@ t
gereelde	x @ r i@ l d @
gereeld	x @ r i@ l t
gereël	x @ r i@ l
gereflekteer	x @ r i@ f l E k t i@ r
gereformeerde	x @ r E f O r m i@ r d @
gereformeerd	x @ r E f O r m i@ r t
geregeer	x @ r @ x i@ r
geregisseer	x @ r E x @ s i@ r
geregistreerde	x @ r E x @ s t r i@ r d @
geregistreer	x @ r E x @ s t r i@ r
geregtelike	x @ r { x t @ l @ k @
geregte	x @ r { x t @
geregtigheid	x @ r { x t @ x h\ @i t
geregtig	x @ r { x t @ x
gereguleerde	x @ r E x y l i@ r d @
gereguleer	x @ r E x y l i@ r
geregverdig	x @ r { x f { r d @ x
gereg	x @ r { x
gerehabiliteer	x @ r i h\ a b @ l @ t i@ r
gereinig	x @ r @i n @ x
gereis	x @ r @i s
gerekenariseerde	x @ r i@ k @ n A: r i s i@ r d @
gerekende	x @ r i@ k @ n d @
gereken	x @ r i@ k @ n
gerek	x @ r { k
gerem	x @ r E m
geren	x @ r E n
gerepatrieer	x @ r i@ p a t r i i@ r
gerespekteerde	x @ r @ s p E k t i@ r d @
gerespekteer	x @ r @ s p E k t i@ r
gerestoureerde	x @ r E s t u r i@ r d @
gerestoureer	x @ r E s t u r i@ r
gerieflike	x @ r i f l @ k @
gerieflik	x @ r i f l @ k
gerief	x @ r i f
geriewe	x @ r i v @
gerigte	x @ r @ x t @
gerigtheid	x @ r @ x t h\ @i t
gerig	x @ r @ x
geringe	x @ r @ N @
geringste	x @ r @ N s t @
gering	x @ r @ N
germaanse	x { r m A: n s @
geroei	x @ r u i
geroep	x @ r u p
gerol	x @ r O l
geronde	x @ r O n d @
geroofde	x @ r u@ f d @
geroof	x @ r u@ f
gerook	x @ r u@ k
gerooster	x @ r u@ s t @ r
geroskam	x @ r O s k a m
gerubs	x i@ r 9 b s
gerugsteun	x @ r 9 x s t 2: n
gerugte	x @ r 9 x t @
gerug	x @ r 9 x
geruik	x @ r 9y k
geruil	x @ r 9y l
geruime	x @ r 9y m @
geruim	x @ r 9y m
geruisloos	x @ r 9y s l u@ s
geruis	x @ r 9y s
geruite	x @ r 9y t @
geruk	x @ r 9 k
gerusstellende	x @ r 9 s t { l @ n d @
gerusstellend	x @ r 9 s t { l @ n t
gerusstelling	x @ r 9 s t { l @ N
geruste	x @ r 9 s t @
gerus	x @ r 9 s
gery	x @ r @i
gesaai	x @ s A: i
gesaghebbende	x @ s a x h\ E b @ n d @
gesaghebbend	x @ s a x h\ E b @ n t
gesagvoerder	x @ s a x f u r d @ r
gesag	x @ s a x
gesak	x @ s a k
gesalf	x @ s a l f
gesamentlike	x @ s A: m @ n t l @ k @
gesamentlik	x @ s A: m @ n t l @ k
gesange	x @ s a N @
gesang	x @ s a N
gesante	x @ s a n t @
gesant	x @ s a n t
geseënde	x @ s i@ n d @
gesegdes	x @ s { x d @ s
gesegde	x @ s { x d @
geselekteerde	x @ s E l E k t i@ r d @
gesellige	x @ s { l @ x @
geselligheid	x @ s { l @ x h\ @i t
gesellig	x @ s { l @ x
gesellin	x @ s { l @ n
geselsies	x @ s { l s i s
geselskappe	x @ s { l s k a p @
geselskap	x @ s { l s k a p
geselsprogram	x @ s { l s p r u x r a m
geselsradio	x @ s { l s r A: d i u
gesels	x @ s { l s
gesentreerde	x @ s E n t r i@ r d @
gesertifiseerde	x @ s { r t i f i s i@ r d @
gesetel	x @ s i@ t @ l
geset	x @ s E t
gesê	x @ s E
gesiene	x @ s i n @
gesien	x @ s i n
gesiggies	x @ s @ x i s
gesigspunte	x @ s @ x s p 9 n t @
gesigspunt	x @ s @ x s p 9 n t
gesigsveld	x @ s @ x s f { l t
gesigte	x @ s @ x t @
gesig	x @ s @ x
gesimboliseer	x @ s @ m b u l i s i@ r
gesinde	x @ s @ n d @
gesindheid	x @ s @ n t h\ @i t
gesind	x @ s @ n t
gesing	x @ s @ N
gesink	x @ s @ N k
gesinne	x @ s @ n @
gesinsadvokaat	x @ s @ n s a t f u k A: t
gesinsbeplanning	x @ s @ n s b @ p l a n @ N
gesinsgeweld	x @ s @ n s x @ v { l t
gesinskamer	x @ s @ n s k A: m @ r
gesinslede	x @ s @ n s l i@ d @
gesinslewe	x @ s @ n s l i@ v @
gesinsman	x @ s @ n s m a n
gesinsmotor	x @ s @ n s m u@ t @ r
gesinsorg	x @ s @ n s O r x
gesinsverband	x @ s @ n s f @ r b a n t
gesinswaardes	x @ s @ n s v A: r d @ s
gesin	x @ s @ n
gesit	x @ s @ t
geskaaf	x @ s k A: f
geskaar	x @ s k A: r
geskakeerde	x @ s k a k i@ r d @
geskakel	x @ s k A: k @ l
geskape	x @ s k A: p @
geskarrel	x @ s k a r @ l
geskatte	x @ s k a t @
geskat	x @ s k a t
geskeduleerde	x @ s k E d y l i@ r d @
geskeduleer	x @ s k E d y l i@ r
geskeer	x @ s k i@ r
geskeide	x @ s k @i d @
geskei	x @ s k @i
geskel	x @ s k { l
geskend	x @ s k E n t
geskenkbewyse	x @ s k E N k b @ v @i s @
geskenkbewys	x @ s k E N k b @ v @i s
geskenke	x @ s k E N k @
geskenk	x @ s k E N k
geskep	x @ s k E p
geskerts	x @ s k { r t s
geskets	x @ s k E t s
geskeur	x @ s k 2: r
geskiedenisonderrig	x @ s k i d @ n @ s O n d @ r @ x
geskiedenisse	x @ s k i d @ n @ s @
geskiedenis	x @ s k i d @ n @ s
geskiedkundige	x @ s k i t k 9 n d @ x @
geskiedskrywing	x @ s k i t s k r @i v @ N
geskied	x @ s k i t
geskiet	x @ s k i t
geskikte	x @ s k @ k t @
geskiktheid	x @ s k @ k t h\ @i t
geskik	x @ s k @ k
geskilder	x @ s k @ l d @ r
geskille	x @ s k @ l @
geskilpunte	x @ s k @ l p 9 n t @
geskilpunt	x @ s k @ l p 9 n t
geskil	x @ s k @ l
geskinder	x @ s k @ n d @ r
geskink	x @ s k @ N k
geskitter	x @ s k @ t @ r
geskoei	x @ s k u i
geskokte	x @ s k O k t @
geskok	x @ s k O k
geskommel	x @ s k O m @ l
geskoolde	x @ s k u@ l d @
geskool	x @ s k u@ l
geskop	x @ s k O p
geskorste	x @ s k O r s t @
geskors	x @ s k O r s
geskrap	x @ s k r a p
geskreeu	x @ s k r i u
geskree	x @ s k r i@
geskrewe	x @ s k r i@ v @
geskrifte	x @ s k r @ f t @
geskrif	x @ s k r @ f
geskrik	x @ s k r @ k
geskroom	x @ s k r u@ m
geskrum	x @ s k r a m
geskryf	x @ s k r @i f
geskrywe	x @ s k r @i v @
geskud	x @ s k 9 t
geskuif	x @ s k 9y f
geskuld	x @ s k 9 l t
geslaagde	x @ s l A: x d @
geslaagdheid	x @ s l A: x d h\ @i t
geslaagd	x @ s l A: x d
geslaag	x @ s l A: x
geslaan	x @ s l A: n
geslaap	x @ s l A: p
geslagsdele	x @ s l a x s d i@ l @
geslagsrolle	x @ s l a x s r O l @
geslagsverskille	x @ s l a x s f @ r s k @ l @
geslags	x @ s l a x s
geslagtelike	x @ s l a x t @ l @ k @
geslagte	x @ s l a x t @
geslag	x @ s l a x
gesleep	x @ s l i@ p
geslepe	x @ s l i@ p @
geslinger	x @ s l @ N @ r
gesloer	x @ s l u r
gesloop	x @ s l u@ p
geslote	x @ s l u@ t @
gesluit	x @ s l 9y t
geslyp	x @ s l @i p
gesmeek	x @ s m i@ k
gesmeerde	x @ s m i@ r d @
gesmee	x @ s m i@
gesmelte	x @ s m { l t @
gesmelt	x @ s m { l t
gesmokkel	x @ s m O k @ l
gesmul	x @ s m 9 l
gesnel	x @ s n { l
gesneuwel	x @ s n 2: v @ l
gesnoei	x @ s n u i
gesnoer	x @ s n u r
gesnyde	x @ s n @i d @
gesny	x @ s n @i
gesoebat	x @ s u b a t
gesoek	x @ s u k
gesoen	x @ s u n
gesofistikeerde	x @ s u@ f @ s t i k i@ r d @
gesogte	x @ s O x t @
gesog	x @ s O x
gesoleerde	x @ s u l i@ r d @
gesonder	x @ s O n d @ r
gesonde	x @ s O n d @
gesondheidsberoepe	x @ s O n t h\ @i t s b @ r u p @
gesondheidsdepartement	x @ s O n t h\ @i t s d @ p a r t @ m E n t
gesondheidsdienste	x @ s O n t h\ @i t s d i n s t @
gesondheidsdiens	x @ s O n t h\ @i t s d i n s
gesondheidsopvoeding	x @ s O n t h\ @i t s O p f u d @ N
gesondheidsorg	x @ s O n t h\ @i t s O r x
gesondheidsowerhede	x @ s O n t h\ @i t s u@ v @ r h\ i@ d @
gesondheidsowerheid	x @ s O n t h\ @i t s u@ v @ r h\ @i t
gesondheidspan	x @ s O n t h\ @i t s p a n
gesondheidsplan	x @ s O n t h\ @i t s p l a n
gesondheidsrisiko	x @ s O n t h\ @i t s r i s i k u
gesondheidstatus	x @ s O n t h\ @i t s t A: t 9 s
gesondheidsverwante	x @ s O n t h\ @i t s f @ r v a n t @
gesondheidsvoordele	x @ s O n t h\ @i t s f u@ r d i@ l @
gesondheidsvoorligting	x @ s O n t h\ @i t s f u@ r l @ x t @ N
gesondheidswerker	x @ s O n t h\ @i t s v { r k @ r
gesondheidswetenskappe	x @ s O n t h\ @i t s v i@ t @ n s k a p @
gesondheid	x @ s O n t h\ @i t
gesondig	x @ s O n d @ x
gesond	x @ s O n t
gesorg	x @ s O r x
gesorteer	x @ s O r t i@ r
gesoute	x @ s @u t @
gespaar	x @ s p A: r
gespandeer	x @ s p a n d i@ r
gespanne	x @ s p a n @
gespan	x @ s p a n
gespasieer	x @ s p a s i i@ r
gespat	x @ s p a t
gespeel	x @ s p i@ l
gespel	x @ s p { l
gespesialiseerde	x @ s p E S i a l i s i@ r d @
gespesialiseerd	x @ s p E S i a l i s i@ r t
gespesifiseerde	x @ s p E s i f i s i@ r d @
gespioeneer	x @ s p i u n i@ r
gespoeg	x @ s p u x
gespoel	x @ s p u l
gespog	x @ s p O x
gespook	x @ s p u@ k
gespot	x @ s p O t
gespreek	x @ s p r i@ k
gesprekke	x @ s p r { k @
gespreksforum	x @ s p r { k s f u@ r 9 m
gesprekvoering	x @ s p r { k f u r @ N
gesprek	x @ s p r { k
gespring	x @ s p r @ N
gesproke	x @ s p r u@ k @
gespruit	x @ s p r 9y t
gespuit	x @ s p 9y t
gestaak	x @ s t A: k
gestaan	x @ s t A: n
gestaar	x @ s t A: r
gestabiliseer	x @ s t a b i l i s i@ r
gestadigde	x @ s t A: d @ x d @
gestaltes	x @ s t a l t @ s
gestalte	x @ s t a l t @
gestamp	x @ s t a m p
gestand	x @ s t a n t
gestapel	x @ s t A: p @ l
gestap	x @ s t a p
gestasioneer	x @ s t a S i u n i@ r
gesteek	x @ s t i@ k
gesteelde	x @ s t i@ l d @
gesteel	x @ s t i@ l
gesteente	x @ s t i@ n t @
gestelde	x @ s t { l d @
gesteld	x @ s t { l t
gestel	x @ s t { l
gestem	x @ s t E m
gesterf	x @ s t { r f
gesteriliseer	x @ s t E r @ l i s i@ r
gesteun	x @ s t 2: n
gesteur	x @ s t 2: r
gestig	x @ s t @ x
gestileerde	x @ s t @ l i@ r d @
gestimuleer	x @ s t @ m y l i@ r
gestoei	x @ s t u i
gestoot	x @ s t u@ t
gestop	x @ s t O p
gestorm	x @ s t O r m
gestort	x @ s t O r t
gestorwe	x @ s t O r v @
gestraf	x @ s t r a f
gestrande	x @ s t r a n d @
gestrand	x @ s t r a n t
gestreef	x @ s t r i@ f
gestreel	x @ s t r i@ l
gestreepte	x @ s t r i@ p t @
gestrek	x @ s t r { k
gestremdes	x @ s t r E m d @ s
gestremde	x @ s t r E m d @
gestremdhede	x @ s t r E m t h\ i@ d @
gestremd	x @ s t r E m t
gestrem	x @ s t r E m
gestrompel	x @ s t r O m p @ l
gestrooi	x @ s t r u@ i
gestroom	x @ s t r u@ m
gestroopte	x @ s t r u@ p t @
gestroop	x @ s t r u@ p
gestruikel	x @ s t r 9y k @ l
gestruktureerde	x @ s t r 9 k t S y r i@ r d @
gestruktureerd	x @ s t r 9 k t S y r i@ r t
gestruktureer	x @ s t r 9 k t y r i@ r
gestryk	x @ s t r @i k
gestry	x @ s t r @i
gestudeer	x @ s t y d i@ r
gestuit	x @ s t 9y t
gestuur	x @ s t y r
gestyg	x @ s t @i x
gesubsidieer	x @ s 9 b s i d i i@ r
gesuggereer	x @ s 9 x @ r i@ r
gesuig	x @ s 9y x
gesukkel	x @ s 9 k @ l
geswaai	x @ s w A: i
gesweer	x @ s w i@ r
geswelde	x @ s w { l d @
geswem	x @ s w E m
geswig	x @ s w @ x
geswolle	x @ s w O l @
geswore	x @ s w u@ r @
geswyg	x @ s w @i x
getaan	x @ t A: n
getalle	x @ t a l @
getal	x @ t a l
geteelde	x @ t i@ l d @
geteel	x @ t i@ l
geteer	x @ t i@ r
geteisterde	x @ t @i s t @ r d @
geteister	x @ t @i s t @ r
getekende	x @ t i@ k @ n d @
geteken	x @ t i@ k @ n
getel	x @ t { l
getem	x @ t E m
getender	x @ t E n d @ r
geterg	x @ t { r x
geterroriseer	x @ t { r u@ r i s i@ r
getik	x @ t @ k
getinte	x @ t @ n t @
getiteld	x @ t i t @ l t
getitel	x @ t i t @ l
getoets	x @ t u t s
getoi	x @ t O i
getoonset	x @ t u@ n s E t
getoon	x @ t u@ n
getorring	x @ t O r @ N
getrakteer	x @ t r a k t i@ r
getransformeer	x @ t r a n s f O r m i@ r
getrap	x @ t r a p
getraumatiseerde	x @ t r a u m a t i s i@ r d @
getraumatiseer	x @ t r a u m a t i s i@ r
getree	x @ t r i@
getref	x @ t r E f
getreiter	x @ t r @i t @ r
getrek	x @ t r { k
getreur	x @ t r 2: r
getroef	x @ t r u f
getroos	x @ t r u@ s
getrotseer	x @ t r O t s i@ r
getroudes	x @ t r @u d @ s
getroude	x @ t r @u d @
getroud	x @ t r @u t
getroue	x @ t r @u @
getrouheid	x @ t r @u h\ @i t
getrouste	x @ t r @u s t @
